column_ID,column_coal_metal,column_commodity,column_mine_name,column_name,column_state,column_status,column_type
3503598,M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Newberg Rock & Dirt  ,OR ,Active ,Surface
0502030,M ,Construction Sand and Gravel ,Allied Dirt Moving Co Pit & Plant,Allied Dirt Moving Company  ,CO ,Abandoned ,Surface
4801789,M ,Construction Sand and Gravel ,AM Dirtworks & Aggregate Sales,AM Dirtworks & Aggregate Sales  ,ND ,Abandoned ,Surface
4201449,C ,Coal (Bituminous) ,Unit Train Loading Facility,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Facility
4201450,C ,Coal (Bituminous) ,Blackie Surface Mine & Prep Plant,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Surface
1002257,M ,Construction Sand and Gravel ,"Hitt Pit, Inc.",Babe's Dirt Work  ,ID ,Abandoned ,Surface
1601167,M ,Construction Sand and Gravel ,Bar-Lin Dirt Pit,Bar-Lin Dirt Company  ,LA ,Abandoned ,Surface
4103265,M ,Construction Sand and Gravel ,Barber'S Dirt Pit,Barber'S Dirt Pit  ,TX ,Abandoned ,Surface
1401575,M ,Construction Sand and Gravel ,BENDER SAND & DIRT,Bender Sand & Dirt  ,KS ,Intermittent ,Surface
1700776,M ,Construction Sand and Gravel ,BERT'S DIRT,BERT'S DIRT  ,ME ,Abandoned ,Surface
1601251,M ,Construction Sand and Gravel ,Dorothy V Pit,Big D Dirt Service Inc  ,LA ,Abandoned ,Surface
0301963,M ,Construction Sand and Gravel ,Big Red Dirt Farm,Big Red Dirt Farm LLC  ,AR ,Abandoned ,Surface
1601082,M ,Construction Sand and Gravel ,Big River Dirt Pit,Big River Dirt Pit  ,LA ,Abandoned ,Surface
3401751,M ,Construction Sand and Gravel ,Harris Pit,Bob Harris Dirt Contracting  ,OK ,Abandoned ,Surface
1600916,M ,Construction Sand and Gravel ,BOHANNON SAND & DIRT,Bohannon Sand & Dirt  ,LA ,Abandoned ,Surface
3401211,M ,Construction Sand and Gravel ,Eubanks Pit,Bratcher'S Sand & Dirt  ,OK ,Abandoned ,Surface
0301267,M ,Construction Sand and Gravel ,Brewer Pit,Brewer Dirt Works  ,AR ,Abandoned ,Surface
1600956,M ,Construction Sand and Gravel ,Buck'S Dirt Pit,Buck'S Dirt Pit  ,LA ,Abandoned ,Surface
2200033,M ,Common Clays NEC ,Laurel Brick & Tile,C & G Dirt Hauling  ,MS ,Abandoned ,Surface
0504953,M ,Construction Sand and Gravel ,Foster Canyon,"C N C Dirt Movers, Inc.  ",NM ,Abandoned ,Surface
3401929,M ,"Sand, Industrial NEC ",Cambridge #1,Cambridge Dirt Sand and Gravel LLC  ,OK ,Abandoned ,Surface
1302445,M ,Construction Sand and Gravel ,Woolstock,Central Iowa Dirt & Demo LLC  ,IA ,Abandoned ,Surface
1601106,M ,Construction Sand and Gravel ,Crowes Dirt Pit,Crowes Trucking & Dirt Pit Services  ,LA ,Abandoned ,Surface
3400915,M ,Construction Sand and Gravel ,D & H Dirt,D & H Dirt  ,OK ,Abandoned ,Surface
1600983,M ,Construction Sand and Gravel ,Amite Acres Dredge,Diez Dirt & Sand Hauling Inc  ,LA ,Abandoned ,Surface
4503200,M ,Common Clays NEC ,Dirt Cheap,Dirt Cheap  ,WA ,Abandoned ,Surface
3401266,M ,Construction Sand and Gravel ,Pit #1,Dirt Company  ,OK ,Abandoned ,Surface
3401468,M ,Construction Sand and Gravel ,Hicks Pit,Dirt Company  ,OK ,Abandoned ,Surface
5001797,M ,Construction Sand and Gravel ,Bush Pilot,Dirt Company  ,AK ,Intermittent ,Surface
4608254,M ,"Crushed, Broken Limestone NEC ",Hog Lick Quarry,Dirt Con  ,WV ,Abandoned ,Surface
1510279,C ,Coal (Bituminous) ,Debco Mine,Dirt Diggers Inc  ,KY ,Abandoned ,Surface
2103723,M ,Construction Sand and Gravel ,Rock Lake Plant,Dirt Doctor Inc  ,MN ,Intermittent ,Surface
0100776,M ,Common Clays NEC ,Harrison Pit,Dirt Inc  ,AL ,Abandoned ,Surface
4104016,M ,Construction Sand and Gravel ,THE DIRT PIT,Dirt Pit  ,TX ,Abandoned ,Surface
2103914,M ,Construction Sand and Gravel ,Astec Plant,Dirt Work Specialists LLC  ,MN ,Intermittent ,Surface
4104757,M ,Construction Sand and Gravel ,Portable #1,Dirt Works  ,TX ,Intermittent ,Surface
